,iteration,x,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha
91,91,[4.86489876191308 8.89521666210096],0.110794923255456,0.0001,False,[-0.0354701107536201 -2.28428645272356],[-0.0377984313641470 -2.34751897368433],[0.00200979699936286 6.19539844755537],0.25,0.5,0.01
92,92,[4.87320766715606 8.90459840167187],0.0917899914828393,0.0001,False,[-0.0295909721321494 -2.09566675798078],[-0.0316428369401488 -2.15862981190667],[0.00144271131554425 5.29360880403052],0.25,0.5,0.01
93,93,[4.88140100949208 8.91392199162980],0.0746877687335337,0.0001,False,[-0.0244602123748281 -1.90803196656265],[-0.0262558685161583 -1.97068142789865],[0.00102050665248297 4.46709739472772],0.25,0.5,0.01
94,94,[4.88946516849231 8.92317597563764],0.0594671420238616,0.0001,False,[-0.0200181630952408 -1.72156016740402],[-0.0215775894504702 -1.78384048252768],[0.000710616753095316 3.71543340235994],0.25,0.5,0.01
95,95,[4.89738451405243 8.93234530799441],0.0461042122838049,0.0001,False,[-0.0162061071777542 -1.53648048724727],[-0.0175489777459332 -1.59832048606738],[0.000486627331476086 3.03810284502578],0.25,0.5,0.01
96,96,[4.90514112743886 8.94140975271372],0.0345710738883206,0.0001,False,[-0.0129664164045494 -1.35309384011185],[-0.0141120567398953 -1.41440050160073],[0.000327377642926126 2.43448289258721],0.25,0.5,0.01
97,97,[4.91271452143891 8.95034132608591],0.0248339752216837,0.0001,False,[-0.0102427157773686 -1.17180494572551],[-0.0112100510180003 -1.23245383469432],[0.000216145434711041 1.90380486170699],0.25,0.5,0.01
98,98,[4.92008138921022 8.95910004845731],0.0168504410692297,0.0001,False,[-0.00798007987119371 -0.993173478281733],[-0.00878757265789535 -1.05299356738488],[0.000139913554730836 1.44509920983461],0.25,0.5,0.01
99,99,[4.92721543059873 8.96762657449357],0.0105645802822407,0.0001,False,[-0.00612526699720282 -0.817999030853855],[-0.00679084341237595 -0.876747664986611],[8.87162252589290e-5 1.05711081215623],0.25,0.5,0.01
100,100,[4.93408733015058 8.97582880483926],0.00589909027561204,0.0001,False,[-0.00462699677862025 -0.647468510128562],[-0.00516795843705917 -0.704788298843074],[5.50626622241456e-5 0.738163141882164],0.25,0.5,0.01
