,alg,function_name,iteration,step_coeff,adam_grad,f(x),epsilon,converged,gradient,m,v,beta1,beta2,alpha,sum,z,x0
84,adam,relu,84,[1000.00000000000],[3.13479722188509],-1743.52561053092,0.0001,False,[0],[0.000313434787654097],[1.12103850418338e-44],0.9,0.25,0.1,[0],[0],-1743.52561053092
85,adam,relu,85,[1000.00000000000],[2.82127705339775],-1743.80773823626,0.0001,False,[0],[0.000282091308888687],[2.80259626045846e-45],0.9,0.25,0.1,[0],[0],-1743.80773823626
86,adam,relu,86,[1000.00000000000],[2.53911658744828],-1744.06164989501,0.0001,False,[0],[0.000253882177999818],[7.00649065114614e-46],0.9,0.25,0.1,[0],[0],-1744.06164989501
87,adam,relu,87,[1000.00000000000],[2.28517839326011],-1744.29016773433,0.0001,False,[0],[0.000228493960199836],[1.75162266278654e-46],0.9,0.25,0.1,[0],[0],-1744.29016773433
88,adam,relu,88,[1000.00000000000],[2.05663906069918],-1744.49583164040,0.0001,False,[0],[0.000205644564179853],[4.37905665696634e-47],0.9,0.25,0.1,[0],[0],-1744.49583164040
89,adam,relu,89,[1000.00000000000],[1.85095774545467],-1744.68092741495,0.0001,False,[0],[0.000185080107761868],[1.09476416424158e-47],0.9,0.25,0.1,[0],[0],-1744.68092741495
90,adam,relu,90,[1000.00000000000],[1.66584786972977],-1744.84751220192,0.0001,False,[0],[0.000166572096985681],[2.73691041060396e-48],0.9,0.25,0.1,[0],[0],-1744.84751220192
91,adam,relu,91,[1000.00000000000],[1.49925166098516],-1744.99743736802,0.0001,False,[0],[0.000149914887287113],[6.84227602650990e-49],0.9,0.25,0.1,[0],[0],-1744.99743736802
92,adam,relu,92,[1000.00000000000],[1.34931724338553],-1745.13236909236,0.0001,False,[0],[0.000134923398558401],[1.71056900662748e-49],0.9,0.25,0.1,[0],[0],-1745.13236909236
93,adam,relu,93,[1000.00000000000],[1.21437802542869],-1745.25380689490,0.0001,False,[0],[0.000121431058702561],[4.27642251656869e-50],0.9,0.25,0.1,[0],[0],-1745.25380689490
94,adam,relu,94,[1000.00000000000],[1.09293415312618],-1745.36310031021,0.0001,False,[0],[0.000109287952832305],[1.06910562914217e-50],0.9,0.25,0.1,[0],[0],-1745.36310031021
95,adam,relu,95,[1000.00000000000],[0.983635821360128],-1745.46146389235,0.0001,False,[0],[9.83591575490747e-5],[2.67276407285543e-51],0.9,0.25,0.1,[0],[0],-1745.46146389235
96,adam,relu,96,[1000.00000000000],[0.885268256934653],-1745.54999071804,0.0001,False,[0],[8.85232417941672e-5],[6.68191018213858e-52],0.9,0.25,0.1,[0],[0],-1745.54999071804
97,adam,relu,97,[1000.00000000000],[0.796738205614293],-1745.62966453860,0.0001,False,[0],[7.96709176147505e-5],[1.67047754553464e-52],0.9,0.25,0.1,[0],[0],-1745.62966453860
98,adam,relu,98,[1000.00000000000],[0.717061772315176],-1745.70137071584,0.0001,False,[0],[7.17038258532754e-5],[4.17619386383661e-53],0.9,0.25,0.1,[0],[0],-1745.70137071584
99,adam,relu,99,[1000.00000000000],[0.645353478780783],-1745.76590606371,0.0001,False,[0],[6.45334432679479e-5],[1.04404846595915e-53],0.9,0.25,0.1,[0],[0],-1745.76590606371
100,adam,relu,100,[1000.00000000000],[0.580816416708056],-1745.82398770538,0.0001,False,[0],[5.80800989411531e-5],[2.61012116489788e-54],0.9,0.25,0.1,[0],[0],-1745.82398770538
101,adam,relu,101,[1000.00000000000],[0.522733386547371],-1745.87626104404,0.0001,False,[0],[5.22720890470378e-5],[6.52530291224471e-55],0.9,0.25,0.1,[0],[0],-1745.87626104404
102,adam,relu,102,[1000.00000000000],[0.470458923221507],-1745.92330693636,0.0001,False,[0],[4.70448801423340e-5],[1.63132572806118e-55],0.9,0.25,0.1,[0],[0],-1745.92330693636
103,adam,relu,103,[1000.00000000000],[0.423412119919882],-1745.96564814835,0.0001,False,[0],[4.23403921281006e-5],[4.07831432015294e-56],0.9,0.25,0.1,[0],[0],-1745.96564814835
104,adam,relu,104,[1000.00000000000],[0.381070170037536],-1746.00375516536,0.0001,False,[0],[3.81063529152906e-5],[1.01957858003824e-56],0.9,0.25,0.1,[0],[0],-1746.00375516536
105,adam,relu,105,[1000.00000000000],[0.342962555344791],-1746.03805142089,0.0001,False,[0],[3.42957176237615e-5],[2.54894645009559e-57],0.9,0.25,0.1,[0],[0],-1746.03805142089
106,adam,relu,106,[1000.00000000000],[0.308665815683832],-1746.06891800246,0.0001,False,[0],[3.08661458613854e-5],[6.37236612523897e-58],0.9,0.25,0.1,[0],[0],-1746.06891800246
107,adam,relu,107,[1000.00000000000],[0.277798841974169],-1746.09669788666,0.0001,False,[0],[2.77795312752468e-5],[1.59309153130974e-58],0.9,0.25,0.1,[0],[0],-1746.09669788666
108,adam,relu,108,[1000.00000000000],[0.250018640143167],-1746.12169975067,0.0001,False,[0],[2.50015781477221e-5],[3.98272882827436e-59],0.9,0.25,0.1,[0],[0],-1746.12169975067
109,adam,relu,109,[1000.00000000000],[0.225016518846268],-1746.14420140256,0.0001,False,[0],[2.25014203329499e-5],[9.95682207068589e-60],0.9,0.25,0.1,[0],[0],-1746.14420140256
110,adam,relu,110,[1000.00000000000],[0.202514658563202],-1746.16445286841,0.0001,False,[0],[2.02512782996549e-5],[2.48920551767147e-60],0.9,0.25,0.1,[0],[0],-1746.16445286841
111,adam,relu,111,[1000.00000000000],[0.182263023904476],-1746.18267917080,0.0001,False,[0],[1.82261504696894e-5],[6.22301379417868e-61],0.9,0.25,0.1,[0],[0],-1746.18267917080
112,adam,relu,112,[1000.00000000000],[0.164036584784320],-1746.19908282928,0.0001,False,[0],[1.64035354227205e-5],[1.55575344854467e-61],0.9,0.25,0.1,[0],[0],-1746.19908282928
113,adam,relu,113,[1000.00000000000],[0.147632815555000],-1746.21384611084,0.0001,False,[0],[1.47631818804484e-5],[3.88938362136168e-62],0.9,0.25,0.1,[0],[0],-1746.21384611084
114,adam,relu,114,[1000.00000000000],[0.132869444291409],-1746.22713305527,0.0001,False,[0],[1.32868636924036e-5],[9.72345905340419e-63],0.9,0.25,0.1,[0],[0],-1746.22713305527
115,adam,relu,115,[1000.00000000000],[0.119582427198807],-1746.23909129799,0.0001,False,[0],[1.19581773231632e-5],[2.43086476335105e-63],0.9,0.25,0.1,[0],[0],-1746.23909129799
116,adam,relu,116,[1000.00000000000],[0.107624125621591],-1746.24985371055,0.0001,False,[0],[1.07623595908469e-5],[6.07716190837762e-64],0.9,0.25,0.1,[0],[0],-1746.24985371055
117,adam,relu,117,[1000.00000000000],[0.0968616653850396],-1746.25953987709,0.0001,False,[0],[9.68612363176223e-6],[1.51929047709440e-64],0.9,0.25,0.1,[0],[0],-1746.25953987709
118,adam,relu,118,[1000.00000000000],[0.0871754602303141],-1746.26825742311,0.0001,False,[0],[8.71751126858601e-6],[3.79822619273601e-65],0.9,0.25,0.1,[0],[0],-1746.26825742311
119,adam,relu,119,[1000.00000000000],[0.0784578829281696],-1746.27610321140,0.0001,False,[0],[7.84576014172741e-6],[9.49556548184003e-66],0.9,0.25,0.1,[0],[0],-1746.27610321140
120,adam,relu,120,[1000.00000000000],[0.0706120692992903],-1746.28316441833,0.0001,False,[0],[7.06118412755467e-6],[2.37389137046001e-66],0.9,0.25,0.1,[0],[0],-1746.28316441833
121,adam,relu,121,[1000.00000000000],[0.0635508418471647],-1746.28951950252,0.0001,False,[0],[6.35506571479920e-6],[5.93472842615002e-67],0.9,0.25,0.1,[0],[0],-1746.28951950252
122,adam,relu,122,[1000.00000000000],[0.0571957410394792],-1746.29523907662,0.0001,False,[0],[5.71955914331928e-6],[1.48368210653750e-67],0.9,0.25,0.1,[0],[0],-1746.29523907662
123,adam,relu,123,[1000.00000000000],[0.0514761534709338],-1746.30038669197,0.0001,False,[0],[5.14760322898735e-6],[3.70920526634376e-68],0.9,0.25,0.1,[0],[0],-1746.30038669197
124,adam,relu,124,[1000.00000000000],[0.0463285272175219],-1746.30501954469,0.0001,False,[0],[4.63284290608862e-6],[9.27301316585940e-69],0.9,0.25,0.1,[0],[0],-1746.30501954469
125,adam,relu,125,[1000.00000000000],[0.0416956656616556],-1746.30918911126,0.0001,False,[0],[4.16955861547975e-6],[2.31825329146485e-69],0.9,0.25,0.1,[0],[0],-1746.30918911126
126,adam,relu,126,[1000.00000000000],[0.0375260919398606],-1746.31294172045,0.0001,False,[0],[3.75260275393178e-6],[5.79563322866213e-70],0.9,0.25,0.1,[0],[0],-1746.31294172045
127,adam,relu,127,[1000.00000000000],[0.0337734769498167],-1746.31631906814,0.0001,False,[0],[3.37734247853860e-6],[1.44890830716553e-70],0.9,0.25,0.1,[0],[0],-1746.31631906814
128,adam,relu,128,[1000.00000000000],[0.0303961245600297],-1746.31935868060,0.0001,False,[0],[3.03960823068474e-6],[3.62227076791383e-71],0.9,0.25,0.1,[0],[0],-1746.31935868060
129,adam,relu,129,[1000.00000000000],[0.0273565083012356],-1746.32209433143,0.0001,False,[0],[2.73564740761627e-6],[9.05567691978457e-72],0.9,0.25,0.1,[0],[0],-1746.32209433143
130,adam,relu,130,[1000.00000000000],[0.0246208543908520],-1746.32455641687,0.0001,False,[0],[2.46208266685464e-6],[2.26391922994614e-72],0.9,0.25,0.1,[0],[0],-1746.32455641687
131,adam,relu,131,[1000.00000000000],[0.0221587664567568],-1746.32677229352,0.0001,False,[0],[2.21587440016918e-6],[5.65979807486536e-73],0.9,0.25,0.1,[0],[0],-1746.32677229352
132,adam,relu,132,[1000.00000000000],[0.0199428877901234],-1746.32876658229,0.0001,False,[0],[1.99428696015226e-6],[1.41494951871634e-73],0.9,0.25,0.1,[0],[0],-1746.32876658229
133,adam,relu,133,[1000.00000000000],[0.0179485973741356],-1746.33056144203,0.0001,False,[0],[1.79485826413703e-6],[3.53737379679085e-74],0.9,0.25,0.1,[0],[0],-1746.33056144203
134,adam,relu,134,[1000.00000000000],[0.0161537363107722],-1746.33217681566,0.0001,False,[0],[1.61537243772333e-6],[8.84343449197712e-75],0.9,0.25,0.1,[0],[0],-1746.33217681566
135,adam,relu,135,[1000.00000000000],[0.0145383616056758],-1746.33363065182,0.0001,False,[0],[1.45383519395100e-6],[2.21085862299428e-75],0.9,0.25,0.1,[0],[0],-1746.33363065182
136,adam,relu,136,[1000.00000000000],[0.0130845245751528],-1746.33493910428,0.0001,False,[0],[1.30845167455590e-6],[5.52714655748570e-76],0.9,0.25,0.1,[0],[0],-1746.33493910428
137,adam,relu,137,[1000.00000000000],[0.0117760714129737],-1746.33611671142,0.0001,False,[0],[1.17760650710031e-6],[1.38178663937143e-76],0.9,0.25,0.1,[0],[0],-1746.33611671142
138,adam,relu,138,[1000.00000000000],[0.0105984637008987],-1746.33717655779,0.0001,False,[0],[1.05984585639028e-6],[3.45446659842856e-77],0.9,0.25,0.1,[0],[0],-1746.33717655779
139,adam,relu,139,[1000.00000000000],[0.00953861686847897],-1746.33813041948,0.0001,True,[0],[9.53861270751249e-7],[8.63616649607141e-78],0.9,0.25,0.1,[0],[0],-1746.33813041948
